product_name,last_position_count,total_count,last_position_rate,general_rate,last_position_ratio,department_id
Drinking Water,1984,5403,0.0006171314956667042,0.00016658193690056286,3.704672350130532,7
Variety Pack,1194,3847,0.00037139869245264356,0.00011860831228141131,3.1313040823939824,17
Popcorn,2059,6829,0.0006404605592629758,0.0002105474823420218,3.041881822279812,19
Mineral Water,1713,5936,0.0005328358125388429,0.00018301506152910255,2.911431485949657,7
Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,1095,3864,0.0003406043285055651,0.00011913244571234034,2.859039168288338,1
Zero Calorie Cola,2392,8558,0.0007440416016304216,0.0002638549354053335,2.8198888926880454,7
Orange & Lemon Flavor Variety Pack Sparkling Fruit Beverage,1102,4053,0.0003427817077745504,0.0001249595762091396,2.7431407673858548,7
Organic Coconut Water,1483,5474,0.00046129335084361007,0.00016877096475914882,2.733250660158972,7
Crunchy Oats 'n Honey Granola Bars,2342,8723,0.0007284888925662405,0.00026894211282317413,2.708720047295874,19
Almonds,1172,4488,0.0003645555004644039,0.00013837122576526486,2.6346192891493323,19
Raw Shrimp,1020,3960,0.0003172752649092935,0.00012209225802817489,2.5986517903213553,1
Sweet & Salty Nut Granola Bars Peanut,1073,4188,0.0003337611365173254,0.00012912181227828193,2.5848548020531728,19
Sparkling Water,3065,12321,0.0009533810656342986,0.00037987341191038956,2.509733600042524,7
with Crispy Almonds Cereal,1029,4330,0.0003200747525408461,0.00013349986799545386,2.3975660601533013,14
Trail Mix,2851,12068,0.0008868154708396036,0.00037207307320303397,2.3834443680789645,19
Milk Chocolate Almonds,1177,5019,0.000366110771370822,0.00015474268763722467,2.365932613430652,19
Whole Grain Cheddar Baked Snack Crackers,1711,7321,0.0005322137041762757,0.00022571652046067382,2.3578854710769934,19
Soda,8363,35791,0.002601346118074923,0.0011034858603753553,2.3573896245395156,7
Organic Simply Naked Pita Chips,2055,8957,0.0006392163425378413,0.0002761566553430208,2.314687443414519,19
Coconut Water,1989,8848,0.0006186867665731223,0.000272796035109417,2.2679463296633706,7
0% Greek Strained Yogurt,2918,13238,0.0009076561009856062,0.00040814578580226744,2.2238526834265397,16
Smartwater,2530,11504,0.0007869670786475613,0.000354684175847506,2.218782602204143,7
Original Beef Jerky,1422,6476,0.0004423190457853092,0.00019966400580567187,2.215316897006502,19
Cherrios Honey Nut,1588,7452,0.0004939540398783903,0.00022975543101665636,2.1499123554671513,14
Chocolate Chip Cookies,2981,14148,0.0009272525144064744,0.00043620234004611573,2.1257394316326783,19
Extra Fancy Unsalted Mixed Nuts,2001,9709,0.0006224194167485258,0.0002993418518170581,2.0792929988584277,19
Energy Drink,1331,6461,0.00041401311528849963,0.00019920153513132272,2.078363075944989,7
Organic Extra Virgin Olive Oil,2593,13216,0.0008065634920684295,0.00040746749547988873,1.9794548056367327,13
Organic Tortilla Chips,2667,13776,0.0008295815014834174,0.0004247330673222569,1.9531832233208033,19
Half And Half Cream,1202,6281,0.00037388712590291255,0.00019365188703913294,1.9307176997834155,16
Mixed Fruit Fruit Snacks,1853,9955,0.0005763833979185499,0.0003069263708763841,1.8779207412930015,19
Mozzarella String Cheese,1896,10521,0.0005897587277137455,0.0003243769309884919,1.8181278363924984,16
Organic Low Fat Milk,1496,8438,0.0004653370552002971,0.00026015517001054035,1.7886904003539261,16
Sparkling Mineral Water,3196,18161,0.000994129163382453,0.0005599286611236576,1.775456825852507,7
Sauvignon Blanc,1431,8246,0.0004451185334168617,0.00025423554537887125,1.7508115663115855,5
Natural Artesian Water,2382,13727,0.0007409310598175854,0.00042322232978604966,1.7506899037963004,7
Vanilla Ice Cream,2086,12117,0.0006488590221576336,0.0003735838107392412,1.7368499477364465,1
Cabernet Sauvignon,1044,6115,0.0003247405652601004,0.0001885338782430024,1.72245205098651,5
Natural Spring Water,3246,19518,0.001009681872446634,0.0006017668414631105,1.6778622597279307,7
Liquid Egg Whites,1089,6763,0.0003387380034178633,0.00020851261137488553,1.624544439707031,16
Reduced Fat 2% Milk,2727,17320,0.0008482447523604346,0.0005339994719818155,1.5884748897079815,16
Spring Water,8715,56087,0.0027108371898867576,0.0017292395141480417,1.5676470307945325,7
Cereal,1884,12184,0.0005860260775383421,0.0003756495130846674,1.5600341731476117,14
Ginger Ale,1901,12536,0.0005913139986201637,0.00038650215824272735,1.529911246313953,7
Roasted Pine Nut Hummus,1697,11381,0.0005278589456383049,0.00035089191631784304,1.504334870912679,20
Natural Artisan Water,1653,11110,0.0005141725616618256,0.00034253661280126844,1.5010732939083982,7
